Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-09-02,17539.45,14.77,256268608,3.15814,3.1894,2029.86218,6923.21,1712.19
2022-09-01,17542.8,14.99,308526592,3.14414,3.2533,2036.78699,6901.65,1697.52
2022-08-30,17759.3,14.28,324687488,3.08214,3.1025,2087.9043,7300.1,1724.02
2022-08-29,17312.9,12.97,244854640,#N/A,3.1024,2095.44238,7755.77,1737.09
2022-08-26,17558.9,11.94,266636240,3.06957,3.0409,2043.45813,7439.91,1738.14
2022-08-25,17522.45,12.03,230181856,3.04314,3.0258,1740.2373,7392.41,1758.71
2022-08-24,17604.95,12.1,261953232,3.01,3.1039,1822.86157,7579.81,1751.19
2022-08-23,17577.5,12.7,285616352,2.99686,3.0461,1924.56384,7482.73,1748.15
2022-08-22,17490.7,12.71,287559136,2.97971,3.0146,1900.18005,7203.92,1736.3
2022-08-19,17758.45,11.47,295627264,2.95771,2.9721,1646.47559,7254.88,1747.06
2022-08-18,17956.5,10.68,263914192,2.984,2.8822,1560.45764,7219.91,1758.61
2022-08-17,17944.25,10.84,262768576,2.97657,2.8968,1579.62219,6994,1761.77
2022-08-16,17825.25,10.96,278042720,2.96057,2.8041,1567.91663,6890.39,1775.69
2022-08-12,17698.15,10.92,303872480,2.92157,2.8312,1554.77356,7331.24,1802.4
2022-08-11,17659,11.05,311247232,2.90514,2.8876,1607.20288,7506.11,1789.72
2022-08-10,17534.75,11.1,312716544,2.92271,2.7809,1560.86548,7269.02,1792.38
2022-08-08,17525.1,11.26,256994112,2.91157,2.7572,1694.34338,7223.04,1788.96
2022-08-05,17397.5,11.21,355310816,2.86671,2.8268,1679.03503,7066.24,1775.5
2022-08-04,17382,11.29,324981440,2.86329,2.6883,1697.93005,7011.88,1791.28
2022-08-03,17388.15,11.35,285414656,2.83229,2.7046,1735.92676,7169.89,1765.29
2022-08-02,17345.45,11.45,333639104,2.807,2.7483,1878.4165,7411.62,1760.39
2022-08-01,17340.05,12.7,381532672,2.80214,2.5732,1803.30017,7412.95,1772.17
2022-07-29,17158.25,13.33,436059712,2.78829,2.6487,1693.72998,7831.02,1765.94
2022-07-28,16929.6,12.99,376256320,2.78229,2.6759,1778.72961,7680.48,1755.84
2022-07-27,16641.8,12.48,185210976,2.80586,2.7849,1858.12634,7776.31,1734.19
2022-07-26,16483.85,14.23,208208128,2.79286,2.8068,1971.03235,7582.37,1717.32
2022-07-25,16631,13.92,211392176,2.76929,2.7959,1863.88745,7715.66,1719.78
2022-07-22,16719.45,13.81,190906784,2.76629,2.7504,1838.70142,7560.79,1727.64
2022-07-21,16605.25,16.18,243625344,2.783,2.8747,1845.6825,7695,1718.81
2022-07-20,16520.85,16.96,284359584,2.759,3.0265,1910.00842,8179.12,1696.58
2022-07-19,16340.55,16.78,222630928,2.73171,3.0209,1957.0968,8325.25,1711.67
2022-07-18,16278.5,16.77,227744848,2.70986,2.9855,2024.60718,8210.46,1709.22
